,ci_rsfes,ci_rsfl,ci_rsfls,ci_coxlasso,ci_coxridge,,ibs_rsfes,ibs_rsfl,ibs_rsfls,ibs_coxlasso,ibs_coxridge
2,0.548797095,0.521561507,0.524285066,0.447571493,0.586019065,,0.153778628,0.139329177,0.132171374,0.149796749,0.143418182
3,0.485603113,0.519455253,0.515564202,0.483268482,0.495719844,,0.16702429,0.1754817,0.183390398,0.185722646,0.192929541
4,0.565128205,0.484102564,0.602051282,0.554871795,0.528205128,,0.238821302,0.154083828,0.13902529,0.185599018,0.206493174
5,0.553473492,0.56261426,0.495886654,NA,0.575868373,,0.126732902,0.145752596,0.149692234,NA,0.156042615
6,0.559777968,0.483347566,0.551665243,0.642186166,0.596925705,,0.200252273,0.167268441,0.159951705,0.184085596,0.180569049
7,0.604413348,0.515608181,0.475780409,NA,NA,,0.285199034,0.159970641,0.134833328,NA,NA
8,0.623565417,0.531752104,0.557000765,0.545906656,0.619739862,,0.172044349,0.206230572,0.2250498,0.131729471,0.129429471
9,0.521517997,0.516431925,0.516431925,NA,0.5614241,,0.189438235,0.173099243,0.186351471,NA,0.175093284
10,0.577335375,0.517611026,0.603369066,0.615620214,0.579377233,,0.221982676,0.156550987,0.139942249,0.194883023,0.207421637
11,0.549634723,0.524709927,0.533304684,NA,0.58831113,,0.209326524,0.152406081,0.157252276,NA,0.182621017
12,0.548797095,0.521561507,0.524285066,0.447571493,0.586019065,,0.153778628,0.139329177,0.132171374,0.149796749,0.143418182
13,0.50110538,0.516212233,0.488946205,0.444731024,0.486735446,,0.210297516,0.178116419,0.181614193,0.223356955,0.215044861
14,0.516219239,0.379194631,0.518456376,NA,0.500559284,,0.210425749,0.157151888,0.123770636,NA,0.150229017
15,0.547368421,0.525877193,0.450636244,NA,0.558333333,,0.167998635,0.15433197,0.156192719,NA,0.180508955
16,0.533392304,0.515701017,0.596638655,0.40645732,0.543564794,,0.190021877,0.160470925,0.156361349,0.192087392,0.182466489
17,0.585331453,0.511048425,0.560883874,0.65961448,0.580629995,,0.130752713,0.174317754,0.179990113,0.132640717,0.138462409
18,0.584858569,0.524958403,0.643094842,0.541597338,0.59359401,,0.253022508,0.162402025,0.160608808,0.225438846,0.216066778
19,0.579928952,0.495559503,0.61634103,0.510213144,0.603019538,,0.188738342,0.163487674,0.150765924,0.181518534,0.172926098
20,0.592429577,0.54181338,0.565140845,0.65625,NA,,0.157727289,0.149486549,0.153907151,0.156570617,NA
21,0.600488998,0.563325183,0.598533007,NA,0.628850856,,0.224314222,0.142571624,0.130971832,NA,0.185173364
22,0.618760064,0.482689211,0.577294686,0.651771337,0.615942029,,0.193910583,0.165937191,0.169211089,0.166987276,0.165865999
